"";"Company";"Date.Made.Public";"Total.Records";"Type.of.breach";"Type.of.organization";"Gather.Information.Source";"year"
"420";"south county hospital";2007-07-11;79;"PHYS";"MED";"Nonprofit organization";2007
"423";"cuyahoga county dept of development";2007-07-07;3000;"PORT";"GOV";"Nonprofit organization";2007
"425";"milwaukee pc";2007-06-27;65000;"DISC";"BSR";"Nonprofit organization";2007
"426";"bowling green state university";2007-06-27;199;"PORT";"EDU";"Nonprofit organization";2007
"427";"texas first bank";2007-06-22;4000;"PORT";"BSF";"Nonprofit organization";2007
"428";"american airlines";2007-06-20;365;"DISC";"BSO";"Nonprofit organization";2007
"430";"parisexposed com";2007-06-18;750;"DISC";"BSO";"Nonprofit organization";2007
"431";"texas a m university";2007-06-18;8000;"PORT";"EDU";"Nonprofit organization";2007
"432";"hamburger hamlet restaurant";2007-06-14;40;"INSD";"BSO";"Media";2007
"433";"lynchburg city";2007-06-14;1200;"DISC";"GOV";"Nonprofit organization";2007
"434";"pfizer";2007-06-11;17000;"DISC";"BSO";"Nonprofit organization";2007
"435";"grand valley state university";2007-06-11;3000;"PORT";"EDU";"Nonprofit organization";2007
"438";"stevens hospital";2007-06-04;550;"DISC";"MED";"Nonprofit organization";2007
"439";"gadsden state community college";2007-06-03;400;"PHYS";"EDU";"Nonprofit organization";2007
"440";"jax federal credit union";2007-06-01;7766;"DISC";"BSF";"Nonprofit organization";2007
"441";"northwestern university";2007-06-01;4000;"DISC";"BSO";"Nonprofit organization";2007
"444";"beacon medical services";2007-05-24;5000;"DISC";"MED";"Nonprofit organization";2007
"445";"waco independent school district";2007-05-23;17400;"HACK";"EDU";"Nonprofit organization";2007
"448";"texas commission on law enforcement standards and education";2007-05-19;230000;"PORT";"GOV";"Nonprofit organization";2007
"449";"stony brook university";2007-05-19;90000;"DISC";"EDU";"Nonprofit organization";2007
"450";"yuma elementary school district no 1";2007-05-18;91;"PHYS";"EDU";"Nonprofit organization";2007
"451";"goshen college";2007-05-12;7300;"HACK";"EDU";"Nonprofit organization";2007
"452";"university of missouri";2007-05-08;22396;"HACK";"EDU";"Nonprofit organization";2007
"453";"highland hospital rochester ny";2007-05-11;13000;"PORT";"MED";"Nonprofit organization";2007
"454";"maryland department of natural resources";2007-05-03;1433;"PORT";"GOV";"Nonprofit organization";2007
"455";"louisiana state university e j ourso college of business";2007-05-03;750;"PORT";"EDU";"Nonprofit organization";2007
"458";"champaign police officers";2007-05-01;139;"STAT";"GOV";"Nonprofit organization";2007
"459";"university of new mexico";2007-04-29;3000;"PORT";"EDU";"Nonprofit organization";2007
"460";"couriers on demand";2007-04-28;100;"DISC";"BSO";"Nonprofit organization";2007
"461";"ceridian corp";2007-04-26;150;"DISC";"BSO";"Nonprofit organization";2007
"462";"federal emergency management agency fema";2007-04-23;2300;"DISC";"GOV";"Nonprofit organization";2007
"463";"u s agriculture department";2007-04-20;38700;"DISC";"GOV";"Nonprofit organization";2007
"464";"los alamos national laboratory";2007-04-20;550;"DISC";"GOV";"Nonprofit organization";2007
"465";"new mexico state university";2007-04-19;5600;"DISC";"EDU";"Nonprofit organization";2007
"466";"university of pittsburgh medical center";2007-04-12;88;"DISC";"MED";"Nonprofit organization";2007
"467";"georgia secretary of state";2007-04-12;75000;"PHYS";"GOV";"Nonprofit organization";2007
"468";"new horizons community credit union protiviti";2007-04-11;9000;"PORT";"BSF";"Nonprofit organization";2007
"469";"black hills state university";2007-04-11;56;"STAT";"EDU";"Nonprofit organization";2007
"470";"chicago public schools";2007-04-06;40000;"PORT";"EDU";"Nonprofit organization";2007
"471";"dch health systems";2007-04-05;6000;"PORT";"MED";"Nonprofit organization";2007
"472";"los angeles county child support services";2007-03-30;243000;"PORT";"GOV";"Nonprofit organization";2007
"474";"st mary parish schools";2007-03-27;380;"DISC";"EDU";"Nonprofit organization";2007
"475";"group health cooperative health care system";2007-03-23;31000;"PORT";"MED";"Nonprofit organization";2007
"478";"california national guard";2007-03-09;1300;"PORT";"GOV";"Nonprofit organization";2007
"479";"los rios community college";2007-03-07;2000;"DISC";"EDU";"Nonprofit organization";2007
"480";"u s census bureau";2007-03-07;302;"DISC";"GOV";"Nonprofit organization";2007
"481";"metropolitan state college of denver";2007-03-03;988;"PORT";"EDU";"Nonprofit organization";2007
"482";"johnny s selected seeds";2007-03-03;11500;"HACK";"BSR";"Nonprofit organization";2007
"483";"westerly hospital";2007-03-01;2200;"DISC";"MED";"Nonprofit organization";2007
"484";"gulf coast medical center";2007-02-28;1900;"PORT";"MED";"Nonprofit organization";2007
"485";"rabun apparel inc former subsidiary of fruit of the loom";2007-02-23;1006;"DISC";"BSR";"Nonprofit organization";2007
"486";"chase bank and the former bank one now merged";2007-01-26;4100;"PHYS";"BSF";"Media";2007
"487";"eastern illinois university";2007-01-26;1400;"STAT";"EDU";"Nonprofit organization";2007
"488";"seton healthcare network";2007-02-19;7800;"PORT";"MED";"Nonprofit organization";2007
"489";"clarksville montgomery county middle and high schools";2007-02-19;633;"DISC";"EDU";"Nonprofit organization";2007
"490";"city college of san francisco";2007-02-15;11000;"DISC";"EDU";"Nonprofit organization";2007
"491";"kaiser medical center";2007-02-14;22000;"PORT";"MED";"Nonprofit organization";2007
"492";"conneticut office of the state comptroller";2007-02-14;1753;"DISC";"GOV";"Nonprofit organization";2007
"493";"east carolina university";2007-02-09;65000;"DISC";"EDU";"Nonprofit organization";2007
"494";"radford university waldron school of health and human services";2007-02-09;2400;"HACK";"EDU";"Nonprofit organization";2007
"495";"piper jaffrey";2007-02-08;1000;"DISC";"BSF";"Nonprofit organization";2007
"496";"st mary s hospital";2007-02-08;130000;"PORT";"MED";"Nonprofit organization";2007
"497";"university of nebraska";2007-02-07;72;"DISC";"EDU";"Nonprofit organization";2007
"498";"johns hopkins university and johns hopkins hospital";2007-02-07;135000;"PORT";"MED";"Nonprofit organization";2007
"499";"central connecticut state university";2007-02-07;750;"DISC";"EDU";"Nonprofit organization";2007
"500";"new york department of labor";2007-02-06;537;"PHYS";"GOV";"Nonprofit organization";2007
"501";"cts tax service";2007-02-03;800;"STAT";"BSO";"Nonprofit organization";2007
"502";"massachusetts department of industrial accidents";2007-02-02;1200;"INSD";"GOV";"Nonprofit organization";2007
"504";"university of missouri research board grant application system";2007-02-02;1220;"HACK";"EDU";"Nonprofit organization";2007
"505";"vanguard university";2007-01-26;5105;"STAT";"EDU";"Nonprofit organization";2007
"507";"wahiawa women infants and children program wic";2007-01-25;11500;"INSD";"GOV";"Nonprofit organization";2007
"509";"kb home";2007-01-18;2700;"STAT";"BSO";"Nonprofit organization";2007
"511";"north carolina department of revenue";2007-01-13;30000;"PORT";"GOV";"Nonprofit organization";2007
"512";"university of idaho";2007-01-11;70000;"STAT";"EDU";"Nonprofit organization";2007
"516";"wisconsin department of revenue via ripon printers";2007-01-01;171000;"DISC";"GOV";"Nonprofit organization";2007
"517";"keycorp";2006-12-30;9300;"PORT";"BSF";"Nonprofit organization";2006
"518";"texas woman s university";2006-12-22;15000;"DISC";"EDU";"Media";2006
"519";"santa clara county employment agency";2006-12-21;2500;"STAT";"GOV";"Nonprofit organization";2006
"521";"u s state department";2006-12-28;700;"PHYS";"GOV";"Nonprofit organization";2006
"522";"mississippi state university";2006-12-19;2400;"DISC";"EDU";"Nonprofit organization";2006
"523";"city of wickliffe";2006-12-15;125;"HACK";"GOV";"Nonprofit organization";2006
"524";"st vrain valley school district";2006-12-14;600;"PHYS";"EDU";"Nonprofit organization";2006
"526";"university of california at los angeles ucla";2006-12-12;8e+05;"HACK";"EDU";"Media";2006
"527";"virginia commonwealth university vcu";2006-12-09;561;"DISC";"EDU";"Nonprofit organization";2006
"528";"premier bank";2006-12-06;1800;"PHYS";"BSF";"Nonprofit organization";2006
"530";"johnston county nc";2006-11-27;39000;"DISC";"GOV";"Nonprofit organization";2006
"531";"chicago public schools via all printing graphics inc";2006-11-27;1740;"DISC";"EDU";"Nonprofit organization";2006
"532";"jefferson college of health sciences";2006-11-17;143;"DISC";"EDU";"Nonprofit organization";2006
"534";"connors state college";2006-11-13;22500;"PORT";"EDU";"Nonprofit organization";2006
"535";"ksl services inc";2006-11-10;1000;"PORT";"BSO";"Nonprofit organization";2006
"536";"city of lubbock";2006-11-07;5800;"HACK";"GOV";"Nonprofit organization";2006
"537";"university of virginia uva";2006-11-03;632;"DISC";"EDU";"Nonprofit organization";2006
"540";"mcalester clinic and veterans affairs medical center";2006-11-02;1400;"PORT";"MED";"Nonprofit organization";2006
"541";"intermountain health care";2006-11-02;6244;"PORT";"MED";"Nonprofit organization";2006
"542";"compulinx";2006-11-02;50;"INSD";"BSO";"Media";2006
"543";"u s army cadet command";2006-11-01;4600;"PORT";"GOV";"Nonprofit organization";2006
"544";"gymboree";2006-10-27;20000;"PORT";"BSR";"Nonprofit organization";2006
"547";"akron children s hospital";2006-10-26;235903;"HACK";"MED";"Nonprofit organization";2006
"549";"limewire";2006-10-26;75;"HACK";"BSO";"Nonprofit organization";2006
"550";"hilb rogal hobbs villanova university";2006-11-02;1243;"PORT";"BSF";"Nonprofit organization";2006
"551";"transportation security administration tsa";2006-10-25;900;"PORT";"GOV";"Media";2006
"552";"swedish medical center ballard campus";2006-10-25;1100;"INSD";"MED";"Nonprofit organization";2006
"554";"chicago voter database";2006-10-23;1350000;"DISC";"GOV";"Nonprofit organization";2006
"555";"bowling green police department";2006-11-06;200;"DISC";"GOV";"Nonprofit organization";2006
"556";"university of minnesota";2006-10-19;200;"PORT";"EDU";"Media";2006
"557";"city of visalia recreation division";2006-10-17;200;"PHYS";"GOV";"Nonprofit organization";2006
"559";"dr charles kay of orchard family practice";2006-10-16;100;"PHYS";"MED";"Media";2006
"560";"poulsbo department of licensing";2006-10-15;2200;"PORT";"GOV";"Media";2006
"561";"t mobile usa inc";2006-10-14;43000;"PORT";"BSO";"Nonprofit organization";2006
"562";"republican national committee rnc";2006-10-11;76;"DISC";"NGO";"Nonprofit organization";2006
"563";"camp pendleton marine corps base via lincoln b p management";2006-10-06;2400;"PORT";"GOV";"Nonprofit organization";2006
"566";"cumberland county";2006-10-03;1200;"DISC";"GOV";"Nonprofit organization";2006
"567";"willamette educational service district esd";2006-10-03;4500;"STAT";"EDU";"Media";2006
"569";"port of seattle seattle tacoma airport sea tac";2006-10-02;6939;"PORT";"GOV";"Nonprofit organization";2006
"570";"kentucky personnel cabinet via bluegrass mailing";2006-09-29;146000;"DISC";"GOV";"Nonprofit organization";2006
"571";"north carolina department of motor vehicles";2006-09-28;16000;"STAT";"GOV";"Nonprofit organization";2006
"572";"illinois department of transportation idot";2006-09-28;40;"PHYS";"GOV";"Media";2006
"573";"general electric ge";2006-09-25;50000;"PORT";"BSO";"Nonprofit organization";2006
"574";"erlanger health system";2006-09-23;4150;"PORT";"MED";"Nonprofit organization";2006
"576";"berry college via consultant financial aid services inc";2006-09-20;2093;"PHYS";"EDU";"Nonprofit organization";2006
"577";"depaul medical center radiation therapy department";2006-09-18;100;"STAT";"MED";"Nonprofit organization";2006
"579";"nikon inc and nikon world magazine";2006-09-14;3235;"DISC";"BSR";"Nonprofit organization";2006
"581";"cleveland clinic";2006-09-09;1100;"INSD";"MED";"Nonprofit organization";2006
"583";"university of minnesota";2006-09-08;603;"STAT";"EDU";"Nonprofit organization";2006
"584";"florida national guard";2006-09-07;100;"PORT";"GOV";"Nonprofit organization";2006
"585";"transportation security administration tsa via accenture";2006-09-05;1195;"DISC";"GOV";"Nonprofit organization";2006
"586";"virginia commonwealth university vcu";2006-09-01;2100;"DISC";"EDU";"Nonprofit organization";2006
"588";"new mexico administrative office of the courts";2006-08-27;1500;"DISC";"GOV";"Nonprofit organization";2006
"589";"porttix";2006-08-26;2000;"HACK";"BSO";"Nonprofit organization";2006
"591";"u s department of transportation federal motor carrier safety administration";2006-08-25;193;"PORT";"GOV";"Nonprofit organization";2006
"593";"beaverton school district";2006-08-22;1600;"PHYS";"EDU";"Nonprofit organization";2006
"594";"williams sonoma deloitte touche";2006-08-17;1200;"PORT";"BSR";"Nonprofit organization";2006
"596";"university of kentucky";2006-08-15;630;"DISC";"EDU";"Nonprofit organization";2006
"597";"university of kentucky department of georgraphy";2006-08-15;80;"DISC";"EDU";"Nonprofit organization";2006
"598";"madrona medical group";2006-08-11;6000;"INSD";"MED";"Nonprofit organization";2006
"600";"linens n things";2006-08-08;90;"PHYS";"BSR";"Nonprofit organization";2006
"601";"psa healthcare";2006-08-04;51000;"PHYS";"MED";"Nonprofit organization";2006
"602";"wichita state university";2006-08-01;2000;"HACK";"EDU";"Nonprofit organization";2006
"603";"ron tonkin nissan";2006-08-01;16000;NA;"BSR";"Nonprofit organization";2006
"605";"kaiser permanente northern california office";2006-07-27;160000;"PORT";"MED";"Nonprofit organization";2006
"607";"u s navy recruitment offices";2006-07-26;31000;"PORT";"GOV";"Nonprofit organization";2006
"609";"georgetown university hospital";2006-07-25;23000;"DISC";"MED";"Nonprofit organization";2006
"610";"old mutual capital inc subsidiary of united kingdom based financial services firm old mutual plc";2006-07-25;6500;"PORT";"BSF";"Nonprofit organization";2006
"611";"cablevision systems corp acs fedex";2006-07-25;13700;"PORT";"BSO";"Nonprofit organization";2006
"612";"new york city department of homeless services";2006-07-24;8400;"DISC";"GOV";"Nonprofit organization";2006
"613";"university of iowa";2006-07-14;280;"PORT";"EDU";"Nonprofit organization";2006
"614";"moraine park technical college";2006-07-13;1500;"PORT";"EDU";"Nonprofit organization";2006
"615";"national association of securities dealers nasd";2006-07-07;73;"PORT";"BSF";"Nonprofit organization";2006
"617";"bisys group inc";2006-07-05;61000;"PORT";"BSF";"Nonprofit organization";2006
"618";"nebraska treasurer s office";2006-06-29;309000;"HACK";"GOV";"Nonprofit organization";2006
"619";"cumberland county emergency medical service";2006-06-21;24350;"PORT";"MED";"Nonprofit organization";2006
"620";"mortgage lenders network usa";2006-05-23;231000;"INSD";"BSF";"Nonprofit organization";2006
"622";"university of medicine and dentistry of new jersey";2006-04-09;1850;"HACK";"EDU";"Nonprofit organization";2006
"623";"u s army";2009-12-15;42000;"PORT";"GOV";"Nonprofit organization";2009
"624";"miami university";2006-06-01;851;"PORT";"EDU";"Nonprofit organization";2006
"625";"buckeye community health plan";2006-06-03;72000;"PORT";"MED";"Nonprofit organization";2006
"626";"humana";2006-06-03;17000;"DISC";"MED";"Nonprofit organization";2006
"627";"university of texas at el paso";2006-06-06;4719;"HACK";"EDU";"Nonprofit organization";2006
"628";"denver election commission";2006-06-11;150000;"PHYS";"GOV";"Nonprofit organization";2006
"629";"minnesota state auditor";2006-06-13;493;"PORT";"GOV";"Nonprofit organization";2006
"630";"union pacific";2006-06-16;30000;"PORT";"BSO";"Nonprofit organization";2006
"631";"university of kentucky";2006-06-22;6500;"PORT";"EDU";"Nonprofit organization";2006
"632";"automatic data processing adp";2006-06-17;80;"DISC";"BSO";"Nonprofit organization";2006
